1,0,TRACK,NAME,Abu Dhabi
1,6,HAM,POS,12
1,6,ZHO,POS,13
1,6,ZHO,OVERTAKE,1
1,6,ALB,POS,14
1,6,ALB,OVERTAKE,1
1,6,TSU,POS,15
1,6,TSU,OVERTAKE,1
1,6,BOT,POS,16
1,6,DOO,POS,17
1,6,PIA,POS,18
1,6,COL,POS,19
BATCH,1,6,NOR:89.361,SAI:89.253,GAS:90.014,RUS:89.791,HUL:89.787,ALO:89.829,MAG:90.186,LEC:89.997,VER:89.412,STR:91.119,LAW:90.563,HAM:90.693,ZHO:89.914,ALB:90.815,TSU:90.747,BOT:93.388,DOO:90.503,PIA:88.95,COL:89.861
1,7,BOT,COMPOUND,Hard
1,7,NOR,POS,1
1,7,SAI,POS,2
1,7,GAS,POS,3
1,7,RUS,POS,4
1,7,HUL,POS,5
1,7,ALO,POS,6
1,7,LEC,POS,7
1,7,LEC,OVERTAKE,1
1,7,MAG,POS,8
1,7,VER,POS,9
1,7,STR,POS,10
1,7,LAW,POS,11
1,7,HAM,POS,12
1,7,ZHO,POS,13
1,7,ALB,POS,14
1,7,TSU,POS,15
1,7,DOO,POS,16
1,7,DOO,OVERTAKE,1
1,7,PIA,POS,17
1,7,PIA,OVERTAKE,1
1,7,BOT,POS,18
1,7,COL,POS,19
BATCH,1,7,NOR:89.024,SAI:89.063,GAS:89.744,RUS:89.738,HUL:89.76,ALO:89.785,LEC:89.538,MAG:91.078,VER:89.885,STR:90.19,LAW:90.264,HAM:90.355,ZHO:90.541,ALB:90.317,TSU:90.436,DOO:90.775,PIA:89.152,BOT:130.132,COL:90.034
1,8,NOR,POS,1
1,8,SAI,POS,2
1,8,GAS,POS,3
1,8,RUS,POS,4
1,8,HUL,POS,5
1,8,ALO,POS,6
1,8,LEC,POS,7
1,8,MAG,POS,8
1,8,VER,POS,9
1,8,STR,POS,10
1,8,LAW,POS,11
1,8,HAM,POS,12
1,8,ZHO,POS,13
1,8,ALB,POS,14
1,8,TSU,POS,15
1,8,DOO,POS,16
1,8,PIA,POS,17
1,8,BOT,POS,18
1,8,COL,POS,19
BATCH,1,8,NOR:88.86,SAI:89.202,GAS:89.732,RUS:89.988,HUL:90.089,ALO:90.032,LEC:89.784,MAG:90.423,VER:89.824,STR:90.467,LAW:90.345,HAM:90.218,ZHO:90.298,ALB:90.705,TSU:90.392,DOO:90.952,PIA:89.482,BOT:89.597,COL:90.27
1,9,NOR,POS,1
1,9,SAI,POS,2
1,9,GAS,POS,3
1,9,RUS,POS,4
1,9,HUL,POS,5
1,9,ALO,POS,6
1,9,LEC,POS,7
1,9,VER,POS,8
1,9,VER,OVERTAKE,1
1,9,MAG,POS,9
1,9,STR,POS,10
1,9,LAW,POS,11
1,9,HAM,POS,12
1,9,ZHO,POS,13
1,9,ALB,POS,14
1,9,TSU,POS,15
1,9,DOO,POS,16
1,9,PIA,POS,17
1,9,BOT,POS,18
1,9,COL,POS,19
